waitforcompletion	(2 Indexer) (2 Indexer) (2 Indexer) 
was	(1 RunMe) 
we	(3 RunMe) 
we're	(1 RunMe) 
what's	(1 RunMe) 
while	(1 RunMe) (1 Indexer) (1 Indexer) (1 Indexer) (1 IndexMapper) 
will	(1 RunMe) 
with	(2 RunMe) 
word	(3 IndexMapper) (1 read) (1 ReadMe) 
wordcount	(1 ReadMe) (1 read) 
write	(1 IndexMapper) 
writeutf	(1 Indexer) (1 Indexer) (1 Indexer) 
|	(19 RunMe) 
|/	(2 RunMe) 
|__	(1 RunMe) 
|____	(1 RunMe) 
|_|	(1 RunMe) 
|_|\\___/	(1 RunMe) 
||	(1 RunMe) 
